idinfo;smartphonename;price;ram;rom;cpu;cameranumber;camera;selfie;battery;displaysize;ref;cpuclock;displayres;provider;os
189;"Apple iPhone 6S 64GB cũ (99%)";8490000;"2 GB";"64 GB";"Apple A9 APL0898";2;"12 MP (f/2.2, 29mm, 1/3", 1.22 µm), tự động lấy nét nhận diện theo giai đoạn, LED flash kép (2 tone)";"5 MP (f/2.2, 31mm), 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR, panorama";NULL;"4.7";https://cellphones.com.vn/iphone-6s-64-gb-cu.html;"2x 1.84 GHz Twister";"750 x 1334 pixels";CellphoneS;iOS
190;"Apple iPhone 6S Plus 16GB cũ (99%)";8290000;"2 GB";"16 GB";"Apple A9 APL1022";2;"12 MP (f/2.2, 29mm, 1/3", 1.22 µm), tự động lấy nét nhận diện theo giai đoạn, OIS, LED flash kép (2 tone)";"5 MP (f/2.2, 31mm), 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR, panorama";NULL;"5.5";https://cellphones.com.vn/iphone-6s-plus-16-gb-cu.html;"2x 1.84 GHz Twister";"1080 x 1920 pixels";CellphoneS;iOS
191;"Apple iPhone 6 Plus 64GB cũ (99%)";8290000;"1 GB";"64 GB";"Apple A8 APL1011";2;"8 MP (f/2.2, 29mm, 1/3", 1.5 µm), tự động lấy nét nhận diện theo giai đoạn, OIS, LED flash kép (2 tone)";"1.2 MP (f/2.2, 31mm), 720p@30fps, nhận diện khuôn mặt, HDR, FaceTime";NULL;"5.5";https://cellphones.com.vn/iphone-6-plus-64-gb-cu.html;"2x 1.4 GHz Typhoon (nền tảng ARM v8)";"1080 x 1920 pixels";CellphoneS;iOS
192;"Apple iPhone 6S 64GB cũ (95%)";8090000;"2 GB";"64 GB";"Apple A9 APL0898";2;"12 MP (f/2.2, 29mm, 1/3", 1.22 µm), tự động lấy nét nhận diện theo giai đoạn, LED flash kép (2 tone)";"5 MP (f/2.2, 31mm), 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR, panorama";NULL;"4.7";https://cellphones.com.vn/iphone-6s-64-gb-95-cu.html;"2x 1.84 GHz Twister";"750 x 1334 pixels";CellphoneS;iOS
193;"Nokia 8 Chính hãng (Đã kích hoạt)";7990000;"4 GB";"64 GB";"Qualcomm MSM8998 Snapdragon 835";2;"2x 13 MP (f/2.0, 1.12 µm), tự động lấy nét nhận diện theo giai đoạn & laser, ống kính Carl Zeiss, OIS, LED flash kép (2 tone)";"13 MP (f/2.0, 1.12 µm), 2160p, PDAF";NULL;"5.3";https://cellphones.com.vn/nokia-8-chinh-hang-at.html;"4x 2.5 GHz Kryo & 4x 1.8 GHz Kryo";"1440 x 2560 pixels";CellphoneS;Android
194;"OPPO F7 Chính hãng";7990000;"4 GB";"64 GB";"Mediatek Helio P60";2;"16 MP, f/1.8, tự động lấy nét nhận diện theo giai đoạn, LED flash";"25 MP, f/2.0";NULL;"6.23";https://cellphones.com.vn/oppo-f7-chinh-hang.html;"4x 2.0 GHz Cortex-A73 & 4x 2.0 GHz Cortex-A53";"1080 x 2280 pixels";CellphoneS;Android
195;"Vivo V7+ Chính hãng";7990000;"4 GB";"64 GB";"Qualcomm Snapdragon 450";2;"16 MP, f/2.0, tự động lấy nét nhận diện theo giai đoạn, LED flash";"24 MP, f/2.0";NULL;"5.99";https://cellphones.com.vn/vivo-v7plus-chinh-hang.html;"8x 1.8 GHz Cortex-A53";"720 x 1440 pixels";CellphoneS;Android
196;"Apple iPhone 6S 16GB (Đổi bảo hành - Chưa active - VN/A)";7990000;"2 GB";"16 GB";"Apple A9 APL0898";2;"12 MP (f/2.2, 29mm, 1/3", 1.22 µm), tự động lấy nét nhận diện theo giai đoạn, LED flash kép (2 tone)";"5 MP (f/2.2, 31mm), 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR, panorama";NULL;"4.7";https://cellphones.com.vn/iphone-6s-16-gb-bhvn.html;"2x 1.84 GHz Twister";"750 x 1334 pixels";CellphoneS;iOS
197;"Apple iPhone 6 Plus 64GB cũ (95%)";7890000;"1 GB";"64 GB";"Apple A8 APL1011";2;"8 MP (f/2.2, 29mm, 1/3", 1.5 µm), tự động lấy nét nhận diện theo giai đoạn, OIS, LED flash kép (2 tone)";"1.2 MP (f/2.2, 31mm), 720p@30fps, nhận diện khuôn mặt, HDR, FaceTime";NULL;"5.5";https://cellphones.com.vn/iphone-6-plus-64-gb-95-cu.html;"2x 1.4 GHz Typhoon (nền tảng ARM v8)";"1080 x 1920 pixels";CellphoneS;iOS
198;"Apple iPhone 6S Plus 16GB cũ (95%)";7890000;"2 GB";"16 GB";"Apple A9 APL1022";2;"12 MP (f/2.2, 29mm, 1/3", 1.22 µm), tự động lấy nét nhận diện theo giai đoạn, OIS, LED flash kép (2 tone)";"5 MP (f/2.2, 31mm), 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR, panorama";NULL;"5.5";https://cellphones.com.vn/iphone-6s-plus-16-gb-95-cu.html;"2x 1.84 GHz Twister";"1080 x 1920 pixels";CellphoneS;iOS
199;"Apple iPhone 6S 64GB cũ (90%)";7790000;"2 GB";"64 GB";"Apple A9 APL0898";2;"12 MP (f/2.2, 29mm, 1/3", 1.22 µm), tự động lấy nét nhận diện theo giai đoạn, LED flash kép (2 tone)";"5 MP (f/2.2, 31mm), 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR, panorama";NULL;"4.7";https://cellphones.com.vn/iphone-6s-64-gb-90-cu.html;"2x 1.84 GHz Twister";"750 x 1334 pixels";CellphoneS;iOS
200;"Apple iPhone 6S 16GB (Đã kích hoạt)";7590000;"2 GB";"16 GB";"Apple A9 APL0898";2;"12 MP (f/2.2, 29mm, 1/3", 1.22 µm), tự động lấy nét nhận diện theo giai đoạn, LED flash kép (2 tone)";"5 MP (f/2.2, 31mm), 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR, panorama";NULL;"4.7";https://cellphones.com.vn/iphone-6s-16-gb-at.html;"2x 1.84 GHz Twister";"750 x 1334 pixels";CellphoneS;iOS
201;"Apple iPhone 6 Plus 16GB (Đổi bảo hành - Chưa active)";7690000;"1 GB";"16 GB";"Apple A8 APL1011";2;"8 MP (f/2.2, 29mm, 1/3", 1.5 µm), tự động lấy nét nhận diện theo giai đoạn, OIS, LED flash kép (2 tone)";"1.2 MP (f/2.2, 31mm), 720p@30fps, nhận diện khuôn mặt, HDR, FaceTime";NULL;"5.5";https://cellphones.com.vn/iphone-6-plus-16-gb-bh.html;"2x 1.4 GHz Typhoon (nền tảng ARM v8)";"1080 x 1920 pixels";CellphoneS;iOS
202;"Apple iPhone 6 32GB Chính hãng (Đã kích hoạt)";7390000;"1 GB";"32 GB";"Apple A8 APL1011";2;"8 MP (f/2.2, 29mm, 1/3", 1.5 µm), tự động lấy nét nhận diện theo giai đoạn, LED flash kép (2 tone)";"1.2 MP (f/2.2, 31mm), 720p@30fps, nhận diện khuôn mặt, HDR, FaceTime";NULL;"4.7";https://cellphones.com.vn/iphone-6-32-gb-cty-at.html;"2x 1.4 GHz Typhoon (nền tảng ARM v8)";"750 x 1334 pixels";CellphoneS;iOS
203;"OPPO F5 6GB Chính hãng (Đã kích hoạt)";7390000;"6 GB";"64 GB";"Mediatek MT6763T Helio P23";2;"13 MP, f/2.2, tự động lấy nét nhận diện theo giai đoạn, LED flash";"16 MP, f/2.0, kích thước cảm biến 1/2.8";NULL;"6.0";https://cellphones.com.vn/oppo-f5-6-gb-chinh-hang-at.html;"4x 2.3 GHz Cortex-A53 & 4x 1.6 GHz Cortex-A53";"1080 x 2160 pixels";CellphoneS;Android
204;"Apple iPhone 6 128GB cũ (99%)";7190000;"1 GB";"128 GB";"Apple A8 APL1011";2;"8 MP (f/2.2, 29mm, 1/3", 1.5 µm), tự động lấy nét nhận diện theo giai đoạn, LED flash kép (2 tone)";"1.2 MP (f/2.2, 31mm), 720p@30fps, nhận diện khuôn mặt, HDR, FaceTime";NULL;"4.7";https://cellphones.com.vn/iphone-6-128-gb-cu.html;"2x 1.4 GHz Typhoon (nền tảng ARM v8)";"750 x 1334 pixels";CellphoneS;iOS
205;"Motorola Moto G5S Plus 32GB Chính hãng";6990000;"4 GB";"32 GB";"Qualcomm MSM8953 Snapdragon 625";2;"2x 13 MP, f/2.0, tự động lấy nét, LED flash kép (2 tone)";"8 MP, f/2.0, LED flash";NULL;"5.5";https://cellphones.com.vn/motorola-moto-g5s-plus-32-gb-chinh-hang.html;"8x 2.0 GHz Cortex-A53";"1080 x 1920 pixels";CellphoneS;Android
206;"Sony Xperia XA1 Ultra Chính hãng";6990000;"4 GB";"64 GB";"MediaTek Helio P20 (MT6757)";2;"23 MP (f/2.0, 24mm, 1/2.3"), tự động lấy nét nhận diện theo giai đoạn, LED flash";"16 MP (f/2.0, 23mm, 1/2.6"), OIS, tự động lấy nét, LED flash, 1080p";NULL;"6.0";https://cellphones.com.vn/xperia-xa1-ultra-cty.html;"4x 2.3 GHz ARM Cortex-A53 & 4x 1.6 GHz ARM Cortex-A53";"1080 x 1920 pixels";CellphoneS;Android
207;"OPPO F5 Chính hãng";6990000;"4 GB";"32 GB";"Mediatek MT6763T Helio P23";2;"16 MP, f/1.8, tự động lấy nét nhận diện theo giai đoạn, LED flash";"20 MP, f/2.0, kích thước cảm biến 1/2.8";NULL;"6.0";https://cellphones.com.vn/oppo-f5-chinh-hang.html;"4x 2.3 GHz Cortex-A53 & 4x 1.6 GHz Cortex-A53";"1080 x 2160 pixels";CellphoneS;Android
208;"Samsung Galaxy A6 Chính hãng";6990000;"3 GB";"32 GB";"Exynos 7870 Octa";2;"16 MP (f/1.7), tự độnglấy nét nhận diện theo giai đoạn, LED flash";"16 MP (f/1.9), LED flash";NULL;"5.6";https://cellphones.com.vn/samsung-galaxy-a6-chinh-hang.html;"8x 1.6 GHz Cortex-A53";-;CellphoneS;Android
209;"Huawei nova 3e Chính hãng";6990000;"4 GB";"64 GB";"HiSilicon Kirin 659";3;"16 MP + 2 MP, f/2.2, tự động lấy nét nhận diện theo giai đoạn, LED flash";"16 MP, f/2.0, 1080p";NULL;"5.84";https://cellphones.com.vn/huawei-nova-3e-chinh-hang.html;"4x 2.36 GHz Cortex-A53 & 4x 1.7 GHz Cortex-A53";"1080 x 2280 pixels";CellphoneS;Android
210;"Vivo V7+ Chính hãng (Đã kích hoạt)";6990000;"4 GB";"64 GB";"Qualcomm Snapdragon 450";2;"16 MP, f/2.0, tự động lấy nét nhận diện theo giai đoạn, LED flash";"24 MP, f/2.0";NULL;"5.99";https://cellphones.com.vn/vivo-v7plus-chinh-hang-at.html;"8x 1.8 GHz Cortex-A53";"720 x 1440 pixels";CellphoneS;Android
211;"Sony Xperia XA1 Ultra Chính hãng (Đã kích hoạt)";6790000;"4 GB";"64 GB";"MediaTek Helio P20 (MT6757)";2;"23 MP (f/2.0, 24mm, 1/2.3"), tự động lấy nét nhận diện theo giai đoạn, LED flash";"16 MP (f/2.0, 23mm, 1/2.6"), OIS, tự động lấy nét, LED flash, 1080p";NULL;"6.0";https://cellphones.com.vn/xperia-xa1-ultra-cty-at.html;"4x 2.3 GHz ARM Cortex-A53 & 4x 1.6 GHz ARM Cortex-A53";"1080 x 1920 pixels";CellphoneS;Android
212;"Apple iPhone 6S 16GB cũ (99%)";6490000;"2 GB";"16 GB";"Apple A9 APL0898";2;"12 MP (f/2.2, 29mm, 1/3", 1.22 µm), tự động lấy nét nhận diện theo giai đoạn, LED flash kép (2 tone)";"5 MP (f/2.2, 31mm), 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR, panorama";NULL;"4.7";https://cellphones.com.vn/iphone-6s-16-gb-cu.html;"2x 1.84 GHz Twister";"750 x 1334 pixels";CellphoneS;iOS
213;"Apple iPhone 6 32GB Chính hãng (Mã VN/A)";6490000;"1 GB";"32 GB";"Apple A8 APL1011";2;"8 MP (f/2.2, 29mm, 1/3", 1.5 µm), tự động lấy nét nhận diện theo giai đoạn, LED flash kép (2 tone)";"1.2 MP (f/2.2, 31mm), 720p@30fps, nhận diện khuôn mặt, HDR, FaceTime";NULL;"4.7";https://cellphones.com.vn/iphone-6-32-gb-cty-vn.html;"2x 1.4 GHz Typhoon (nền tảng ARM v8)";"750 x 1334 pixels";CellphoneS;iOS
214;"OPPO F7 Youth Chính hãng";6490000;"4 GB";"64 GB";"Mediatek MT6771 Helio P60";2;"13 MP (f/2.2), tự động lấy nét nhận diện theo giai đoạn, LED flash";"8 MP (f/2.2)";NULL;"6.0";https://cellphones.com.vn/oppo-f7-youth-chinh-hang.html;"4x 2.0 GHz ARM Cortex-A73 & 4x 2.0 GHz ARM Cortex-A53";"1080 x 2160 pixels";CellphoneS;Android
215;"Samsung Galaxy J7 Pro Chính hãng";6090000;"3 GB";"32 GB";"Samsung Exynos 7 Octa 7870";2;"13 MP, f/1.7, tự động lấy nét, LED flash";"13 MP, f/1.9, LED flash, 1080p";NULL;"5.5";https://cellphones.com.vn/samsung-galaxy-j7-pro-chinh-hang.html;"8x 1.6 GHz Cortex-A53";"1080 x 1920 pixels";CellphoneS;Android
216;"Apple iPhone 6S 16GB cũ (95%)";6090000;"2 GB";"16 GB";"Apple A9 APL0898";2;"12 MP (f/2.2, 29mm, 1/3", 1.22 µm), tự động lấy nét nhận diện theo giai đoạn, LED flash kép (2 tone)";"5 MP (f/2.2, 31mm), 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR, panorama";NULL;"4.7";https://cellphones.com.vn/iphone-6s-16-gb-95-cu.html;"2x 1.84 GHz Twister";"750 x 1334 pixels";CellphoneS;iOS
217;"Samsung Galaxy A5 (2017) Chính hãng (Đã kích hoạt)";6090000;NULL;NULL;"Exynos 7880 Octa";2;"16 MP, f/1.9, OIS, tự động lấy nét, LED flash";"16 MP, f/1.9, 1080p";NULL;No;https://cellphones.com.vn/galaxy-a5-2017-cty-at.html;"Octa-core 1.9 GHz Cortex-A53";No;CellphoneS;No
218;"OPPO F5 Youth Chính hãng";5990000;"3 GB";"32 GB";"MediaTek Helio P23 (MT6763T)";2;"13 MP, f/2.2, tự động lấy nét nhận diện theo giai đoạn, LED flash";"16 MP (f/2.0, 2.0 µm)";NULL;"6.0";https://cellphones.com.vn/oppo-f5-youth-chinh-hang.html;"4x 2.3 GHz ARM Cortex-A53 & 4x 1.65 GHz ARM Cortex-A53";"1080 x 2160 pixels";CellphoneS;Android
219;"Sony Xperia XA1 Plus Chính hãng";5990000;"4 GB";"32 GB";"MediaTek Helio P20 (MT6757)";2;"23 MP (f/2.0, 24mm, 1/2.3"), tự động lấy nét nhận diện theo giai đoạn, LED flash";"8 MP (f/2.0, 23mm, 1/4"), tự động lấy nét, 1080p";NULL;"5.5";https://cellphones.com.vn/sony-xperia-xa1-plus-chinh-hang.html;"4x 2.3 GHz ARM Cortex-A53 & 4x 1.6 GHz ARM Cortex-A53";"1080 x 1920 pixels";CellphoneS;Android
220;"Nokia 6 (2018) 32GB Chính hãng";5990000;"3 GB";"32 GB";"Qualcomm SDM630 Snapdragon 630";2;"16 MP (f/2.0, 1.0 µm), tự động lấy nét theo giai đoạn, ống kính Carl Zeiss, LED flash kép (2 tone)";"8 MP (f/2.0, 1.12 µm), tự động lấy nét, 1080p";NULL;"5.5";https://cellphones.com.vn/nokia-6-2018-chinh-hang.html;"4x 2.2 GHz ARM Cortex-A53 & 4x 1.8 GHz ARM Cortex-A53";"1080 x 1920 pixels";CellphoneS;Android
221;"Apple iPhone 6 64GB cũ (99%)";5690000;"1 GB";"64 GB";"Apple A8 APL1011";2;"8 MP (f/2.2, 29mm, 1/3", 1.5 µm), tự động lấy nét nhận diện theo giai đoạn, LED flash kép (2 tone)";"1.2 MP (f/2.2, 31mm), 720p@30fps, nhận diện khuôn mặt, HDR, FaceTime";NULL;"4.7";https://cellphones.com.vn/iphone-6-64-gb-cu.html;"2x 1.4 GHz Typhoon (nền tảng ARM v8)";"750 x 1334 pixels";CellphoneS;iOS
222;"Apple iPhone 5S 64GB (99%)";5599000;"1 GB";"64 GB";"Apple A7 APL0698";2;"8 MP (f/2.2, 29mm, 1/3", 1.5 µm), tự động lấy nét, LED flash kép (2 tone)";"1.2 MP (f/2.4, 31mm), 720p@30fps, nhận diện khuôn mặt, HDR, FaceTime";NULL;"4.0";https://cellphones.com.vn/iphone-5s-64-gb-cu.html;"2x 1.3 GHz Cyclone (nền tảng ARM v8)";"640 x 1136 pixels";CellphoneS;iOS
223;"Apple iPhone SE 64GB cũ (99%)";5590000;"2 GB";"64 GB";"Apple A9 APL0898";2;"12 MP (f/2.2, 29mm, 1/3", 1.22 µm), tự động lấy nét theo giai đoạn, LED flash kép (2 tone)";"1.2 MP (f/2.4, 31mm), 720p@30fps, nhận diện khuôn mặt, HDR, FaceTime";NULL;"4.0";https://cellphones.com.vn/iphone-se-64-gb-cu.html;"2x 1.84 GHz Twister";"640 x 1136 pixels";CellphoneS;iOS
224;"OPPO F3 Lite Chính hãng (A57)";5490000;"3 GB";"32 GB";"Qualcomm MSM8940 Snapdragon 435";2;"13 MP, f/2.2, tự động lấy nét nhận diện theo giai đoạn, LED flash";"16 MP, f/2.0, kích thước điểm ảnh 1.12 µm, 1080p";NULL;"5.2";https://cellphones.com.vn/oppo-f3-lite-chinh-hang.html;"4x 1.4 GHz ARM Cortex-A53 & 4x 1.1 GHz ARM Cortex-A53";"720 x 1280 pixels";CellphoneS;Android
225;"Xiaomi Mi A1 64GB Chính hãng (Mi 5X)";5490000;"4 GB";"64 GB";"Qualcomm MSM8953 Snapdragon 625";3;"12 MP (f/2.2, 26mm, 1.25 µm) + 12 MP (f/2.6, 50mm, 1 µm), tự động lấy nét nhận diện theo giai đoạn, zoom quang học 2x, LED flash kép (2 tone)";"5 MP, 1080p";NULL;"5.5";https://cellphones.com.vn/xiaomi-mi-a1-chinh-hang.html;"8x 2.0 GHz Cortex-A53";"1080 x 1920 pixels";CellphoneS;Android
226;"Apple iPhone 5S 64GB cũ (95%)";5399000;"1 GB";"64 GB";"Apple A7 APL0698";2;"8 MP (f/2.2, 29mm, 1/3", 1.5 µm), tự động lấy nét, LED flash kép (2 tone)";"1.2 MP (f/2.4, 31mm), 720p@30fps, nhận diện khuôn mặt, HDR, FaceTime";NULL;"4.0";https://cellphones.com.vn/iphone-5s-64-gb-95-cu.html;"2x 1.3 GHz Cyclone (nền tảng ARM v8)";"640 x 1136 pixels";CellphoneS;iOS
227;"Samsung Galaxy J7+ Chính hãng (Đã kích hoạt)";0;"4 GB";"32 GB";"MediaTek Helio P25 Lite (MT6757T)";3;"13 MP, f/1.7 & 5 MP f/1.9, tự động lấy nét, LED flash";"16 MP, f/1.9, 1080p";NULL;"5.5";https://cellphones.com.vn/samsung-galaxy-j7plus-chinh-hang-at.html;"4x 2.39 GHz ARM Cortex-A53 & 4x 1.6 GHz ARM Cortex-A53";"1080 x 1920 pixels";CellphoneS;Android
228;"OPPO F5 Chính hãng (Đã kích hoạt)";0;"4 GB";"32 GB";"Mediatek MT6763T Helio P23";2;"16 MP, f/1.8, tự động lấy nét nhận diện theo giai đoạn, LED flash";"20 MP, f/2.0, kích thước cảm biến 1/2.8";NULL;"6.0";https://cellphones.com.vn/oppo-f5-chinh-hang-at.html;"4x 2.3 GHz Cortex-A53 & 4x 1.6 GHz Cortex-A53";"1080 x 2160 pixels";CellphoneS;Android
229;"Sony Xperia XA1 Plus Chính hãng (Đã kích hoạt)";5290000;"4 GB";"32 GB";"MediaTek Helio P20 (MT6757)";2;"23 MP (f/2.0, 24mm, 1/2.3"), tự động lấy nét nhận diện theo giai đoạn, LED flash";"8 MP (f/2.0, 23mm, 1/4"), tự động lấy nét, 1080p";NULL;"5.5";https://cellphones.com.vn/sony-xperia-xa1-plus-chinh-hang-at.html;"4x 2.3 GHz ARM Cortex-A53 & 4x 1.6 GHz ARM Cortex-A53";"1080 x 1920 pixels";CellphoneS;Android
230;"Samsung Galaxy J6 Chính hãng";5290000;"3 GB";"32 GB";"Samsung Exynos 7 Octa 7870";2;"13 MP (f/1.9, 28mm), tự động lấy nét, LED flash";"8 MP, f/1.9, LED flash";NULL;"5.6";https://cellphones.com.vn/samsung-galaxy-j6-chinh-hang.html;"8x 1.6 GHz Cortex-A53";"720 x 1480 pixels";CellphoneS;Android
231;"Huawei nova 3e Chính hãng (Đã kích hoạt)";0;"4 GB";"64 GB";"HiSilicon Kirin 659";3;"16 MP + 2 MP, f/2.2, tự động lấy nét nhận diện theo giai đoạn, LED flash";"16 MP, f/2.0, 1080p";NULL;"5.84";https://cellphones.com.vn/huawei-nova-3e-chinh-hang-at.html;"4x 2.36 GHz Cortex-A53 & 4x 1.7 GHz Cortex-A53";"1080 x 2280 pixels";CellphoneS;Android
232;"Apple iPhone 6 64GB cũ (95%)";5090000;"1 GB";"64 GB";"Apple A8 APL1011";2;"8 MP (f/2.2, 29mm, 1/3", 1.5 µm), tự động lấy nét nhận diện theo giai đoạn, LED flash kép (2 tone)";"1.2 MP (f/2.2, 31mm), 720p@30fps, nhận diện khuôn mặt, HDR, FaceTime";NULL;"4.7";https://cellphones.com.vn/iphone-6-64-gb-95-cu.html;"2x 1.4 GHz Typhoon (nền tảng ARM v8)";"750 x 1334 pixels";CellphoneS;iOS
233;"Samsung Galaxy J7 Prime Chính hãng";4990000;"3 GB";"32 GB";"Samsung Exynos 7 Octa 7870";2;"13 MP (f/1.9, 28mm), tự động lấy nét, LED flash";"8 MP, f/1.9";NULL;"5.5";https://cellphones.com.vn/galaxy-j7-prime-cty.html;"8x 1.6 GHz Cortex-A53";"1080 x 1920 pixels";CellphoneS;Android
234;"Nokia 6 Chính hãng";4990000;"3 GB";"32 GB";"Qualcomm MSM8937 Snapdragon 430";2;"16 MP (f/2.0, 1.0 µm), tự động lấy nét nhận diện, theo giai đoạn, LED flash kép (2 tone)";"8 MP (f/2.0, 1.12 µm), tự động lấy nét, 1080p";NULL;"5.5";https://cellphones.com.vn/nokia-6-cty.html;"4x 1.4 GHz ARM Cortex-A53 & 4x 1.1 GHz ARM Cortex-A53";"1080 x 1920 pixels";CellphoneS;Android
235;"Xiaomi Mi A1 32GB Chính hãng (Mi 5X)";4990000;"4 GB";"32 GB";"Qualcomm MSM8953 Snapdragon 625";3;"12 MP (f/2.2, 26mm, 1.25 µm) + 12 MP (f/2.6, 50mm, 1 µm), tự động lấy nét nhận diện theo giai đoạn, zoom quang học 2x, LED flash kép (2 tone)";"5 MP, 1080p";NULL;"5.5";https://cellphones.com.vn/xiaomi-mi-a1-32-gb-chinh-hang.html;"8x 2.0 GHz Cortex-A53";"1080 x 1920 pixels";CellphoneS;Android
236;"Huawei nova 2i Chính hãng";4990000;"4 GB";"64 GB";"HiSilicon Kirin 659";4;"16 MP + 2 MP, f/2.2, tự động lấy nét nhận diện theo giai đoạn, LED flash";"13 MP + 2 MP, f/2.0, 720p@30fps";NULL;"5.8";https://cellphones.com.vn/huawei-nova-2i-chinh-hang.html;"4x 2.36 GHz Cortex-A53 & 4x 1.7 GHz Cortex-A53";"1080 x 2160 pixels";CellphoneS;Android
237;"OPPO A83 Chính hãng";4990000;"3 GB";"32 GB";"Mediatek MT6763T Helio P23";2;"13 MP, f/2.2, tự động lấy nét nhận diện theo giai đoạn, LED flash";"8 MP, f/2.2,";NULL;"5.7";https://cellphones.com.vn/oppo-a83-chinh-hang.html;"4x 2.5 GHz ARM Cortex-A53 & 4x 1.6 GHz ARM Cortex-A53";"720 x 1440 pixels";CellphoneS;Android
238;"Sony Xperia L2 Chính hãng";4990000;"3 GB";"32 GB";"Mediatek MT6737T";2;"13 MP (f/2.0, 1/3.1"), tự động lấy nét, LED flash";"8 MP (f/2.4, 1/4"), 1080p";NULL;"5.5";https://cellphones.com.vn/sony-xperia-l2-chinh-hang.html;"4x 1.5 GHz Cortex-A53";"720 x 1280 pixels";CellphoneS;Android
239;"Huawei nova 2i Chính hãng (Đã kích hoạt)";4890000;"4 GB";"64 GB";"HiSilicon Kirin 659";4;"16 MP + 2 MP, f/2.2, tự động lấy nét nhận diện theo giai đoạn, LED flash";"13 MP + 2 MP, f/2.0, 720p@30fps";NULL;"5.8";https://cellphones.com.vn/huawei-nova-2i-chinh-hang-at.html;"4x 2.36 GHz Cortex-A53 & 4x 1.7 GHz Cortex-A53";"1080 x 2160 pixels";CellphoneS;Android
240;"OPPO A83 2018 32GB Chính hãng";4890000;"3 GB";"32 GB";"Mediatek MT6763T Helio P23";2;"13 MP, f/2.2, tự động lấy nét nhận diện theo giai đoạn, LED flash";"8 MP, f/2.2";NULL;"5.7";https://cellphones.com.vn/oppo-a83-2018-chinh-hang.html;"4x 2.3 GHz ARM Cortex-A53 & 4x 1.65 GHz ARM Cortex-A53";"720 x 1440 pixels";CellphoneS;Android
241;"Xiaomi Redmi Note 5 Chính hãng";4799000;"3 GB";"32 GB";"Qualcomm SDM636 Snapdragon 636";3;"12 MP (f/1.9, 1.4 μm) + 5 MP (f/2.0, 1.12 μm), tự động lấy nét nhận diện theo giai đoạn, LED flash";"13 MP, LED flash, 1080p";NULL;"5.99";https://cellphones.com.vn/xiaomi-redmi-note-5-pro-chinh-hang.html;"4x 1.8 GHz Kryo 260 & 4x 1.6 GHz Kryo 260";"1080 x 2160 pixels";CellphoneS;Android
242;"Apple iPhone 6 16GB cũ (99%)";4790000;"1 GB";"16 GB";"Apple A8 APL1011";2;"8 MP (f/2.2, 29mm, 1/3", 1.5 µm), tự động lấy nét nhận diện theo giai đoạn, LED flash kép (2 tone)";"1.2 MP (f/2.2, 31mm), 720p@30fps, nhận diện khuôn mặt, HDR, FaceTime";NULL;"4.7";https://cellphones.com.vn/iphone-6-16-gb-cu.html;"2x 1.4 GHz Typhoon (nền tảng ARM v8)";"750 x 1334 pixels";CellphoneS;iOS
243;"Xiaomi Redmi 5 Plus 64GB Chính hãng";4790000;"4 GB";"64 GB";"Qualcomm MSM8953 Snapdragon 625";2;"12 MP (f/2.2, 1.25 μm), tự động lấy nét nhận diện theo giai đoạn, LED flash kép (2 tone)";"5 MP, 1080p";NULL;"5.99";https://cellphones.com.vn/xiaomi-redmi-5-plus-64-gb-chinh-hang.html;"8x 2.0 GHz Cortex-A53";"1080 x 2160 pixels";CellphoneS;Android
244;"OPPO F5 Youth Chính hãng (Đã kích hoạt)";4790000;"3 GB";"32 GB";"MediaTek Helio P23 (MT6763T)";2;"13 MP, f/2.2, tự động lấy nét nhận diện theo giai đoạn, LED flash";"16 MP (f/2.0, 2.0 µm)";NULL;"6.0";https://cellphones.com.vn/oppo-f5-youth-chinh-hang-at.html;"4x 2.3 GHz ARM Cortex-A53 & 4x 1.65 GHz ARM Cortex-A53";"1080 x 2160 pixels";CellphoneS;Android
245;"OPPO A71 Chính hãng";4690000;"3 GB";"16 GB";"Qualcomm SDM 450";2;"13 MP, f/2.2, tự động lấy nét nhận diện theo giai đoạn, LED flash";"5 MP, f/2.4, kích thước điểm ảnh 1.4 µm, 1080p";NULL;"5.2";https://cellphones.com.vn/oppo-a71-chinh-hang.html;"8x 1.8 GHz ARM Cortex-A53";"720 x 1280 pixels";CellphoneS;Android
246;"Apple iPhone 6 64GB cũ (90%)";4690000;"1 GB";"64 GB";"Apple A8 APL1011";2;"8 MP (f/2.2, 29mm, 1/3", 1.5 µm), tự động lấy nét nhận diện theo giai đoạn, LED flash kép (2 tone)";"1.2 MP (f/2.2, 31mm), 720p@30fps, nhận diện khuôn mặt, HDR, FaceTime";NULL;"4.7";https://cellphones.com.vn/iphone-6-64-gb-90-cu.html;"2x 1.4 GHz Typhoon (nền tảng ARM v8)";"750 x 1334 pixels";CellphoneS;iOS
