idinfo;smartphonename;price;ram;rom;cpu;cameranumber;camera;selfie;battery;displaysize;ref;cpuclock;displayres;provider;os
118;"Huawei Y3 2017";1790000;"1 GB";"8 GB";"MT6580M 4 nhân 32-bit";2;"8 MP";"2 MP";"2200 mAh";"5";https://www.thegioididong.com/dtdd/huawei-y3-2017;"1.3 GHz";"FWVGA (480 x 854 Pixels)";TGDD;"Android Marshmallow"
119;"Itel S11 Plus";1790000;"2 GB";"8 GB";"MT6580M 4 nhân 32-bit";2;"5 MP";"5 MP";"2400 mAh";"5";https://www.thegioididong.com/dtdd/itel-s11-plus;"1.3 GHz";"FWVGA (480 x 854 Pixels)";TGDD;"Android Marshmallow"
120;"Mobell Nova i6";1690000;"1 GB";"8 GB";"MT6580 4 nhân 32-bit";2;"8 MP";"2 MP";"2100 mAh";"5";https://www.thegioididong.com/dtdd/mobell-nova-i6;"1.3 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Lollipop"
121;"Nokia 8110 4G";1680000;"512 MB";"4 GB";"Qualcomm Snapdragon 205 Mobile Platform";1;"2 MP";Không;"1500 mAh";"2.4";https://www.thegioididong.com/dtdd/nokia-8110-4g;"1.1 GHz";"QVGA (320 x 240 Pixels)";TGDD;KaiOS
122;"Mobiistar Zumbo Power";1650000;"1 GB";"8 GB";"MT6580 4 nhân 32-bit";2;"5 MP";"5 MP";"4000 mAh";"5.2";https://www.thegioididong.com/dtdd/mobiistar-zumbo-power;"1.3 GHz";"FWVGA (480 x 854 Pixels)";TGDD;"Android Nougat"
123;"Nokia 1";1590000;"1 GB";"8 GB";"MT6737 4 nhân";2;"5 MP";"2 MP";"2150 mAh";"4.5";https://www.thegioididong.com/dtdd/nokia-1;"1.1 GHz";"FWVGA (480 x 854 Pixels)";TGDD;"Android Go Edition"
124;"Mobell S50";1590000;"1 GB";"16 GB";"Spreadtrum SC7731 4 nhân 32-bit";2;"5 MP";"5 MP";"2700 mAh";"5";https://www.thegioididong.com/dtdd/mobell-s50;"1.2 GHz";"FWVGA (480 x 854 Pixels)";TGDD;"Android Nougat"
125;"Itel it1516 Plus";1550000;"1 GB";"8 GB";"Spreadtrum SC7731 4 nhân 32-bit";2;"5 MP";"2 MP";"5000 mAh";"5";https://www.thegioididong.com/dtdd/itel-it1516-plus;"1.2 GHz";"FWVGA (480 x 854 Pixels)";TGDD;"Android Lollipop"
126;"Mobiistar Lai Yuna 1";1550000;"1 GB";"8 GB";"MT6580 4 nhân 32-bit";2;"8 MP";"5 MP";"2300 mAh";"5";https://www.thegioididong.com/dtdd/mobiistar-lai-yuna-1;"1.3 GHz";"HD (1334 x 750 Pixels)";TGDD;"Android Nougat"
127;"Mobell Nova i4";1490000;"1 GB";"8 GB";"MT6580 4 nhân 32-bit";2;"8 MP";"5 MP";"3300 mAh";"5";https://www.thegioididong.com/dtdd/mobell-nova-i4;"1.3 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Marshmallow"
128;"Mobiistar Lai Zoro 3";1350000;"1 GB";"8 GB";"MediaTek MT6580 4 nhân 32-bit";2;"5 MP";"2 MP";"2000 mAh";"5";https://www.thegioididong.com/dtdd/mobiistar-lai-zoro-3;"1.3 GHz";"FWVGA (480 x 854 Pixels)";TGDD;"Android Marshmallow"
129;"Mobell S40";1350000;"1 GB";"8 GB";"Spreadtrum SC7731 4 nhân 32-bit";2;"5 MP";"5 MP";"2600 mAh";"5";https://www.thegioididong.com/dtdd/mobell-s40;"1.2 GHz";"FWVGA (480 x 854 Pixels)";TGDD;"Android Nougat"
130;"Itel it1508 Plus";1290000;"1 GB";"8 GB";"Spreadtrum SC7731 4 nhân 32-bit";2;"5 MP";"2 MP";"2400 mAh";"5";https://www.thegioididong.com/dtdd/itel-it1508-plus;"4 nhân 1.2 GHz";"FWVGA (480 x 854 Pixels)";TGDD;"Android Lollipop"
131;"Mobiistar Lai Z2";1190000;"1 GB";"8 GB";"MT6580 4 nhân 32-bit";2;"5 MP";"2 MP";"2000 mAh";"5";https://www.thegioididong.com/dtdd/mobiistar-lai-z2;"1.3 GHz";"FWVGA (480 x 854 Pixels)";TGDD;"Android Nougat"
132;"Itel A13";1090000;"512 MB";"8 GB";"Spreadtrum SC7731 4 nhân 32-bit";2;"5 MP";"2 MP";"2400 mAh";"5";https://www.thegioididong.com/dtdd/itel-a13;"1.2 GHz";"FWVGA (480 x 854 Pixels)";TGDD;"Android Marshmallow"
133;"Mobell S30";990000;"512 MB";"4 GB";"Cortex-A7 4 nhân 32-bit";2;"2 MP";"VGA (0.3 MP)";"2000 mAh";"4.5";https://www.thegioididong.com/dtdd/mobell-s30;"1.3 GHz";"FWVGA (480 x 854 Pixels)";TGDD;"Android Marshmallow"
134;"Mobiistar Lai Z1";990000;"512 MB";"8 GB";"MTK 6572 2 nhân 32-bit";2;"5 MP";"VGA (0.3 MP)";"2300 mAh";"5";https://www.thegioididong.com/dtdd/mobiistar-lai-z1;"1.3 GHz";"FWVGA (480 x 854 Pixels)";TGDD;"Android KitKat"
135;"Apple iPhone X 64GB Chính hãng (mã VN/A)";29990000;"3 GB";"64 GB";"Apple A11 Bionic APL1W72";3;"12 MP (f/1.8, 28mm) + 12 MP (f/2.4, 52mm), tự động lấy nét nhận diện theo giai đoạn, 2x zoom quang học, OIS, 4 LED flash (2 tone)";"7 MP (f/2.2, 32mm), 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR";NULL;"5.8";https://cellphones.com.vn/apple-iphone-x-64-gb-chinh-hang-vn.html;"2x 2.39 GHz Monsoon & 4x 2.39 GHz Mistral";"1125 x 2436 pixels";CellphoneS;iOS
136;"Apple iPhone X 256GB";28690000;"3 GB";"256 GB";"Apple A11 Bionic APL1W72";3;"12 MP (f/1.8, 28mm) + 12 MP (f/2.4, 52mm), tự động lấy nét nhận diện theo giai đoạn, 2x zoom quang học, OIS, 4 LED flash (2 tone)";"7 MP (f/2.2, 32mm), 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR";NULL;"5.8";https://cellphones.com.vn/apple-iphone-x-256-gb.html;"2x 2.39 GHz Monsoon & 4x 2.39 GHz Mistral";"1125 x 2436 pixels";CellphoneS;iOS
137;"Apple iPhone 8 Plus 256GB Chính hãng (PRODUCT)RED Special Edition";25990000;"3 GB";"256 GB";"Apple A11 Bionic APL1W72";3;"12 MP (f/1.8, 28mm, OIS) + 12 MP (f/2.8, 57mm), tự động lấy nét nhận diện theo giai đoạn, zoom quang 2x, 4 LED flash (2 tone)";"7 MP (f/2.2, 32mm), 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR";NULL;"5.5";https://cellphones.com.vn/iphone-8-plus-256-gb-chinh-hang-red.html;"2x 2.39 GHz Monsoon & 4x 2.39 GHz Mistral";"1080 x 1920 pixels";CellphoneS;iOS
138;"Apple iPhone X 64GB";24390000;"3 GB";"64 GB";"Apple A11 Bionic APL1W72";3;"12 MP (f/1.8, 28mm) + 12 MP (f/2.4, 52mm), tự động lấy nét nhận diện theo giai đoạn, 2x zoom quang học, OIS, 4 LED flash (2 tone)";"7 MP (f/2.2, 32mm), 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR";NULL;"5.8";https://cellphones.com.vn/apple-iphone-x-64-gb.html;"2x 2.39 GHz Monsoon & 4x 2.39 GHz Mistral";"1125 x 2436 pixels";CellphoneS;iOS
139;"Apple iPhone X 64GB (Đã kích hoạt)";23890000;"3 GB";"64 GB";"Apple A11 Bionic APL1W72";3;"12 MP (f/1.8, 28mm) + 12 MP (f/2.4, 52mm), tự động lấy nét nhận diện theo giai đoạn, 2x zoom quang học, OIS, 4 LED flash (2 tone)";"7 MP (f/2.2, 32mm), 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR";NULL;"5.8";https://cellphones.com.vn/apple-iphone-x-64-gb-at.html;"2x 2.39 GHz Monsoon & 4x 2.39 GHz Mistral";"1125 x 2436 pixels";CellphoneS;iOS
