;smartphonename;price;ram;rom;displaysize;provider;os;cpubrand;camrearpixel;camrearcount;camfrontpixel;camfrontcount;numcpu1;numcpu2;clockcpu1;clockcpu2;displayWidth;displayHeight;brandnew;isPortable
172;13;12.99;4;64;5.8;1;0;0.0;12;1.0;8;1.0;4.0;4.0;2.3;1.7;1440.0;2960.0;1.0;1.0
173;0;11.99;2;32;5.5;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;1080.0;1920.0;1.0;0.0
174;14;11.99;4;64;5.2;1;0;3.0;19;1.0;13;1.0;4.0;4.0;2.35;1.9;1080.0;1920.0;1.0;1.0
175;0;11.19;2;32;5.5;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;1080.0;1920.0;1.0;0.0
176;13;11.09;6;64;6.0;1;0;0.0;16;1.0;16;2.0;2.0;6.0;2.2;1.6;1080.0;2220.0;1.0;1.0
177;0;10.99;2;64;5.5;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;1080.0;1920.0;0.99;0.0
178;13;10.99;4;32;5.6;1;0;0.0;16;1.0;16;2.0;2.0;6.0;2.2;1.6;1080.0;2220.0;1.0;1.0
180;11;9.99;6;128;6.23;1;0;5.0;16;1.0;25;1.0;4.0;4.0;2.0;2.0;1080.0;2280.0;1.0;1.0
182;3;9.99;4;128;5.84;1;0;2.0;16;2.0;24;1.0;4.0;4.0;2.36;1.84;1080.0;2280.0;1.0;1.0
183;0;9.89;2;64;5.5;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;1080.0;1920.0;0.95;0.0
184;0;9.29;2;16;5.5;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;1080.0;1920.0;1.0;0.0
185;13;8.99;4;32;6.0;1;0;3.0;16;2.0;24;1.0;8.0;0.0;1.8;0.0;1080.0;2220.0;1.0;1.0
186;0;8.79;2;16;4.7;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;750.0;1334.0;1.0;0.0
