,Price,Brand,Purpose,Color,gen,CPU,Number of cores,Clock,Cache,OS,Ram,Display Size,Touchable,AddGraphics,VGA Memory,HDD,SSD,Optical Disk,Number Keys,LED,USB Ports,HDMI Ports,LANPorts,VGAPorts,Weight,Cells pin,displayWidth,displayHeight
238,12590000,5,1,0,9,9,2,2.4,3,3,4,13.3,1,7,0,500,0,1,1,0,3,1,0,1,1.5,3,768.0,1366.0
239,17290000,5,1,0,15,19,4,1.6,6,3,4,15.6,1,7,0,500,0,1,0,0,4,1,0,0,2.1,3,1080.0,1920.0
240,24290000,6,2,3,18,29,4,1.8,8,3,8,14.0,1,7,0,0,256,1,1,3,2,1,1,1,1.11,4,1080.0,1920.0
241,33450000,1,2,3,19,32,2,1.2,4,3,8,12.0,1,7,0,0,256,1,1,0,2,0,1,1,0.92,6,1440.0,2304.0
242,12340000,6,1,3,9,10,2,2.7,3,3,4,14.0,1,7,0,1000,0,1,1,0,4,1,0,1,2.0,2,1080.0,1920.0
243,24000000,7,1,2,14,15,2,2.5,3,3,8,13.3,1,7,0,0,256,1,1,0,3,1,0,1,0.94,4,1080.0,1920.0
244,31600000,1,2,0,11,11,2,2.3,3,3,8,13.3,1,7,0,0,128,1,1,0,3,0,1,1,1.35,6,1440.0,2304.0
245,24900000,7,1,2,14,15,2,2.5,3,3,8,14.0,1,7,0,0,256,1,1,0,3,1,0,1,0.98,4,1080.0,1920.0
246,31700000,1,2,5,14,17,2,2.3,4,3,8,13.3,1,7,0,0,128,1,1,0,2,0,1,1,1.35,6,1080.0,2560.0
247,13500000,3,1,6,12,13,2,1.7,3,3,4,14.0,1,15,2,500,0,0,1,0,3,1,1,1,2.2,4,768.0,1366.0
248,20490000,3,0,0,2,19,4,1.6,6,3,4,13.3,1,1,2,0,256,0,0,3,0,1,1,1,1.4,3,1080.0,1920.0
249,15690000,5,1,0,15,19,4,1.6,6,3,4,13.3,1,7,0,1000,0,1,1,0,3,1,0,1,1.6,3,768.0,1366.0
250,59990000,1,2,5,17,26,4,2.8,6,3,16,15.4,1,3,2,0,256,1,1,0,4,0,1,1,1.35,6,1800.0,2880.0
